Medicine Name,Uses,Side_effects
Densaid-QA Sachet, Pain relief,Edema swelling Nausea Headache Dizziness Vomiting Itching Flatulence Indigestion Pain in extremities
Dersol 18% Ointment, Acne,Itching Stinging sensation Skin peeling Erythema skin redness
Diasdac SP Tablet, Pain relief,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
Divaxee OD 500 Tablet PR,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Donecept M Tablet, Alzheimer's disease,Nausea Vomiting Loss of appetite Diarrhea Headache Dizziness Bleeding under the skin
Diabend -MR 60 Tablet,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Weight gain Flatulence Diarrhea Headache Nausea Dizziness
Dermicee Cream,Treatment of Fungal skin infections,Paresthesia tingling or pricking sensation Burning sensation Dry skin
Dobact-Core Capsule,Treatment of Bacterial infections,Nausea Vomiting Photosensitivity Anaphylactic reaction Rash Headache Fast heart rate Hypotension low blood pressure
Deriva I 10mg Capsule,Treatment of Acne,Dry skin Increased liver enzymes Rash
Druffnil Shampoo,Treatment of Dandruff,Application site reactions burning irritation itching and redness
Dabistar 75mg Capsule,Treatment and prevention of Blood clots,Nausea Anemia low number of red blood cells Gastrointestinal bleeding Dyspepsia Diarrhea Abdominal pain Nosebleeds Skin bleeding
Dicorate Solution,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Drotin DS Oral Suspension Mango Sugar Free, Pain relief,Blurred vision Weakness Nervousness Nausea Vomiting Dryness in mouth Vertigo Constipation Insomnia difficulty in sleeping Hypotension low blood pressure Fast heart rate Sweating
Desilam 10 Tablet,Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,Anorgasmia decreased orgasm in women Decreased libido Delayed ejaculation Fatigue Increased sweating Insomnia difficulty in sleeping Nausea Sleepiness
Dibeta GB 5 mg/500 mg Tablet,Treatment of Type 2 diabetes mellitus,Nausea Vomiting Diarrhea Flatulence
Dermikem 4 Cream,Treatment of Skin infections,Itching Thinning of skin Burning sensation at the site of application Irritation
Diabend-MR 30 Tablet,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Weight gain Flatulence Diarrhea Headache Nausea Dizziness
Djiso 20mg Tablet,Treatment of Acne,Dry skin Increased liver enzymes Rash
Dovy-M Tablet,Treatment of Abdominal pain,Nausea Vomiting Diarrhea Dryness in mouth Heartburn Vertigo Insomnia difficulty in sleeping Hypotension low blood pressure Fast heart rate Sweating Constipation Increased liver enzymes Increased white blood cell count eosinophils Decreased white blood cell count lymphocytes Low blood platelets Purpura Agranulocytosis deficiency of granulocytes in the blood Breathlessness Ringing in ear Abdominal pain Flatulence Indigestion Stomach inflammation Confusion Depression
Doberol Capsule,Treatment of PilesTreatment of Varicose veins,Skin rash Fever Nausea Vomiting
Donep Syrup, Alzheimer's disease,Common cold Urinary incontinence Rash Nausea Diarrhea Insomnia difficulty in sleeping Weight loss Accidental injury
Depakote XR 250 Tablet,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Divalpro 250 Tablet,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Dermitop Lotion,Treatment of Skin conditions with inflammation & itching,Stinging sensation Itching Hair follicle inflammation
Drez 10% Solution,Treatment and prevention of Wound infection,Application site reactions burning irritation itching and redness
Dinace 2.5 Tablet, Parkinson's disease Drug induced abnormal movements,Dryness in mouth Nausea Vomiting Constipation Blurred vision Dizziness Lightheadedness Dilatation of pupil Epigastric pain
Divalid 250mg Tablet ER,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Deys Milk OF Magnesia 0.311gm Tablet, Constipation,Diarrhea Stomach cramp
Drego-LS Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome,Nausea Stomach pain Diarrhea Flatulence Constipation Headache Dizziness Weakness Sleepiness Flu like symptoms
Drez S Dusting Powder, Bacterial skin infections,Dry skin Application site reactions burning irritation itching and redness
Dilcontin 60 Tablet CR,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of Arrhythmia,Headache Dizziness Nausea Edema swelling
Divalpro XR 250 Tablet,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Diasdac-ER Tablet, Pain relief,Visual disturbance Vomiting Stomach pain epigastric pain Nausea Indigestion Dizziness Drowsiness Visual disorder
Distaclor Drop,Treatment of Bacterial infections,Abdominal pain Skin rash Gastrointesinal symptoms Diarrhea Hypersensitivity Drug eruptions Increased white blood cell count eosinophils Genital itching Increased liver enzymes Vaginal inflammation
Donecept 10 Tablet, Alzheimer's disease,Common cold Urinary incontinence Rash Nausea Diarrhea Insomnia difficulty in sleeping Weight loss Accidental injury
Domtac Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Dezacor 30 Tablet,Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Cancer,Increased appetite Weight gain Frequent urge to urinate Cushing syndrome Cough Upper respiratory tract infection Abnormal hair growth Obesity Nasopharyngitis inflammation of the throat and nasal passages
Dianorm Total 30 Tablet SR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Dizziness Headache Nausea Vomiting Diarrhea Flatulence Upper respiratory tract infection Bronchitis inflammation of the airways Anemia low number of red blood cells Edema swelling
Diproex ER 250 Tablet,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Diproex ER 250 Tablet,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Dabiclot 75mg Capsule,Treatment and prevention of Blood clots,Nausea Anemia low number of red blood cells Gastrointestinal bleeding Dyspepsia Diarrhea Abdominal pain Nosebleeds Skin bleeding
Divalpro 500 Tablet,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Deriphyllin Tablet,Treatment of Chronic obstructive pulmonary disease (COPD),Nausea Vomiting Headache Restlessness
Dargen 60 Injection,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,Abdominal pain High blood pressure Rash Injection site pain Breathlessness Cough Peripheral edema Procedural hypotension low blood pressure Convulsion Thromboembolism
Dutandro 0.5mg Tablet, Benign prostatic hyperplasia,Decreased sperm count Impotence Decreased libido Ejaculation disorder Breast enlargement in male Breast tenderness in male
Domrab  Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Diarrhea Stomach pain Dryness in mouth Headache Dizziness Flatulence Weakness Flu like symptoms
Diabend 40mg Tablet,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Weight gain Flatulence Diarrhea Headache Nausea Dizziness
Distaclor 187mg Oral Suspension Strawberry, Bacterial infections,Gastrointesinal symptoms Diarrhea Hypersensitivity Drug eruptions Increased white blood cell count eosinophils Genital itching Increased liver enzymes Vaginal inflammation
Ducaine Suspension Sugar Free,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers,Constipation Diarrhea Allergic reaction
Derisone L Forte Respicap, Asthma,Hoarseness of voice Headache Dizziness Pharyngitis Vomiting Bronchitis inflammation of the airways Dryness in mouth Cough Application site irritation Nausea Gastrointestinal motility disorder Thrush Throat irritation
Diomilin-NT Tablet,Treatment of Neuropathic pain,Constipation Difficulty in urination Weight gain Sleepiness Dizziness Tiredness Blurred vision Dryness in mouth Increased heart rate Orthostatic hypotension sudden lowering of blood pressure on standing Uncoordinated body movements
DO RE ME 75mg Tablet,"Treatment of Anxiety disorderTreatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression",Dryness in mouth Increased heart rate Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Difficulty in urination Constipation Blurred vision
Dayo  OD 750 Tablet PR,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Doxomit OD Tablet,Treatment of Nausea and vomiting in pregnancy,Dryness in mouth Constipation Lightheadedness Drowsiness
Duotrol-SR Tablet,Treatment of Type 2 diabetes mellitus,Nausea Vomiting Diarrhea Flatulence
Dolo 156.25mg Suspension, Pain reliefTreatment of Fever,Stomach pain Nausea Vomiting
Dysport 500IU Injection,Treatment of Localized muscle spasm,Tiredness Weakness Flu like symptoms Injection site reactions pain swelling redness
Dotzide M Tablet,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Headache Nausea Dizziness Diarrhea Flatulence
DO RE ME 50mg Tablet,"Treatment of Anxiety disorderTreatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression",Dryness in mouth Increased heart rate Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Difficulty in urination Constipation Blurred vision
Diprate-OD 250 Tablet ER,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Duopep 40 Tablet,Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Diarrhea Flatulence Headache Nausea Stomach pain Vomiting Dizziness Upper respiratory tract infection
Dancure Shampoo,Treatment of Dandruff,Application site reactions burning irritation itching and redness
Daztor 20 Tablet, High cholesterol,Nausea Stomach pain Constipation Muscle pain Weakness Dizziness Headache Increased glucose level in blood
Denon Soap, Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
Divaa-OD 125 Tablet ER,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Diva Hmg HP 150IU Injection, Female infertility Male hypogonadism Male infertility,Headache Injection site pain Injection site allergic reaction Abdominal pain Abdominal cramp Nausea Ovarian hyperstimulation syndrome
Donica-SR Capsule, Pain relief,Visual disturbance Vomiting Stomach pain epigastric pain Nausea Indigestion Dizziness Drowsiness Visual disorder
Drez S Ointment, Bacterial skin infections,Dry skin Application site reactions burning irritation itching and redness
Dysliptin 20 Tablet, High cholesterolPrevention of Heart attack,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Disogel Suspension Pineapple Sugar Free, Acidity Heartburn Stomach ulcers,Diarrhea Constipation
Defelax Syrup, Constipation,Cramps Abdominal distension Flatulence
DTM 90 SR Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of Arrhythmia,Headache Dizziness Nausea Edema swelling
Dariten OD 15mg Tablet CR,Treatment of Overactive bladder (OAB) symptoms,Constipation Dryness in mouth Headache Dry eye Nasal dryness
Dorsenz-T Eye Drop,Treatment of GlaucomaTreatment of Ocular hypertension,Burning sensation Eye redness Itching Stinging sensation Blurred vision
Dabipla 150mg Capsule,Treatment and prevention of Blood clots,Nausea Anemia low number of red blood cells Gastrointestinal bleeding Dyspepsia Diarrhea Abdominal pain Nosebleeds Skin bleeding
Derinide 200 Inhaler CFC Free, Asthma,Difficulty in swallowing Fungal infection of mouth Fungal infection of oropharynx Headache Abdominal pain Depression Joint pain Cushing syndrome Dyspepsia Increased risk of infection Muscle pain Muscle weakness Muscle twitching Osteoporosis Irritability Euphoria feeling of intense excitement and happiness
Decdan Next 6mg Tablet,Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Cancer,Increased appetite Weight gain Frequent urge to urinate Cushing syndrome Cough Upper respiratory tract infection Abnormal hair growth Obesity Nasopharyngitis inflammation of the throat and nasal passages
Diabend-MEX 60 Tablet ER,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Headache Nausea Dizziness Diarrhea Flatulence
Depig Cream, Melasma,Erythema skin redness Dryness and fissuring of paranasal and infraorbital areas Stinging sensation
Desval  ER 1g Tablet,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Doxacard 2 Tablet, Hypertension (high blood pressure),Dizziness Headache Drowsiness Low energy Weakness Palpitations Nausea
Dabirex 110mg Capsule,Treatment and prevention of Blood clots,Nausea Anemia low number of red blood cells Gastrointestinal bleeding Dyspepsia Diarrhea Abdominal pain Nosebleeds Skin bleeding
Djiso 10mg Tablet,Treatment of Acne,Dry skin Increased liver enzymes Rash
Dollos-P Tablet, Pain relief,Nausea Vomiting Stomach pain epigastric pain Loss of appetite Heartburn Diarrhea
Dabigza 110 Capsule,Treatment and prevention of Blood clots,Nausea Anemia low number of red blood cells Gastrointestinal bleeding Dyspepsia Diarrhea Abdominal pain Nosebleeds Skin bleeding
Durart-R 450 Tablet,Treatment of HIV infection,Diarrhea Headache Nausea Abdominal pain Rash Vomiting
Dandrid Lotion, Dandruff,Application site reactions burning irritation itching and redness
Denim P 500mg Tablet, Pain reliefTreatment of Fever,Stomach pain Nausea Vomiting
Dolanzen Tablet, Pain relief,No common side effects seen
Dolodart 120mg/5ml Suspension, Pain reliefTreatment of Fever,Indigestion Stomach pain Nausea Vomiting
Drez S Dusting Powder, Bacterial skin infections,Dry skin Application site reactions burning irritation itching and redness
Danket Shampoo,Treatment of Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
Duopil-HS 2/850 Tablet PR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Headache Nausea Diarrhea Flatulence
Domgel Suspension, Acidity Stomach ulcers Bloating,Chalky taste Diarrhea Constipation
Dubagest 400 Soft Gelatin Capsule, Hormone replacement therapy Female infertility,Abdominal bloating Hot flushes Vaginal discharge Urinary incontinence Headache Fatigue Joint pain Cough Abnormal menstrual bleeding Musculoskeletal bone muscle or joint pain Slurred speech Pain behind eyes Vertigo
Derisone L Respicap, Asthma,Hoarseness of voice Headache Dizziness Pharyngitis Vomiting Bronchitis inflammation of the airways Dryness in mouth Cough Application site irritation Nausea Gastrointestinal motility disorder Thrush Throat irritation
D3K Softgel Capsule,Treatment of Vitamin D deficiencyTreatment of Osteoporosis,No common side effects seen
Dabirex 150 Capsule,Treatment and prevention of Blood clots,Nausea Anemia low number of red blood cells Gastrointestinal bleeding Dyspepsia Diarrhea Abdominal pain Nosebleeds Skin bleeding
Dentop-K Dental Gel,Treatment of Dental pain,No common side effects seen
DR 4 Tablet, Arthralgia (joint pain),Nausea Diarrhea Constipation Heartburn Indigestion Urine discoloration
Dan Shine Lotion,Treatment of Fungal skin infectionsTreatment of Dandruff,Application site reactions burning irritation itching and redness
Drukof D Syrup,Treatment of Dry cough,Nausea Vomiting Loss of appetite Headache
Dermtone 25mg Tablet, Vitiligo Psoriasis,Itching Erythema skin redness Nausea
D-Gen 2K Softgel Capsule,Treatment of Vitamin D deficiencyTreatment of Osteoporosis,No common side effects seen
Divibrim-T Sterile Eye Drops,Treatment of Ocular hypertensionTreatment of Glaucoma,Application site reactions burning irritation itching and redness Blurred vision
Dilpra-OD 750 Tablet,Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,Decreased body temperature Dizziness Sleepiness Tremors Paresthesia tingling or pricking sensation Anemia low number of red blood cells Decreased sodium level in blood Liver injury Gastrointestinal disturbance Hypersensitivity Deafness Urinary incontinence Increase in body weight Pain during periods
Dicovis-GM Tablet, Osteoarthritis,Nausea Diarrhea Constipation Indigestion Heartburn Urine discoloration
Duoclin-B Gel, Acne,Erythema skin redness Skin peeling Dryness Burning sensation Itching Stinging sensation
Defmind 100mg Tablet, Depression,Anxiety Constipation Decreased appetite Dizziness Increased sweating Insomnia difficulty in sleeping Nausea Sexual dysfunction Vomiting
Denon Shampoo,Treatment of Fungal infections,Dryness Hair discoloration Abnormal hair texture Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
Derinide 0.5mg Respules 2ml, Asthma,Difficulty in swallowing Fungal infection of mouth Fungal infection of oropharynx Headache Abdominal pain Depression Joint pain Cushing syndrome Dyspepsia Increased risk of infection Muscle pain Muscle weakness Muscle twitching Osteoporosis Irritability Euphoria feeling of intense excitement and happiness
Denisole 4 Tablet,Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,Thinning of skin Increased risk of infection Reduction in bone density Weight gain Mood changes Upset stomach Behavioral changes
Disederm Cream,Treatment of Skin infections,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
Diproliv Lotion, Skin conditions with inflammation & itchingTreatment of Asthma,Hoarseness of voice Thrush Pharyngitis Abnormal taste Nasopharyngeal irritation Application site irritation Application site burning
Dericip 77mg/23mg Tablet,Treatment of Chronic obstructive pulmonary disease (COPD),Nausea Vomiting Headache Restlessness
Dericip 77mg/23mg Tablet,Treatment of Chronic obstructive pulmonary disease (COPD),Nausea Vomiting Headache Restlessness
Dermoquinol 8% Ointment, Bacterial infections of external ear Fungal skin infections,Burning sensation Itching Rash Skin swelling Erythema skin redness
Daltehep 5000IU Injection,Treatment and prevention of Blood clots,Bruise Increased liver enzymes Injection site hematoma Hemorrhagic complications Injection site bruising Nosebleeds
Dufklin Lotion, Dandruff,Application site reactions burning irritation itching and redness
Dubinac-SR Tablet,Treatment of Neuropathic pain,Nausea Vomiting Indigestion Stomach pain Diarrhea Loss of appetite Heartburn Dryness in mouth Dizziness Sleepiness Tiredness Uncoordinated body movements
Dotzide 40mg Tablet,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Weight gain Flatulence Diarrhea Headache Nausea Dizziness
Dobutam 250mg Injection, Heart failure Low blood pressure,High blood pressure Insomnia difficulty in sleeping
Domtac-SR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Diarrhea Stomach pain Flatulence Dryness in mouth Dizziness Headache
Diflam Dental Gel, Pain relief,No common side effects seen
Degalyn 80 Injection, Prostate cancer,Injection site reactions pain swelling redness Weight gain Hot flashes Increased liver enzymes Low sexual desire Erectile dysfunction
Dphyte Cream, Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Dany Cream, Fungal skin infections,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
Dolestin 250 Tablet, Pain relief,Nausea Abdominal pain Indigestion
Dulavin Injection, Severe fungal infections,Decreased potassium level in blood Nausea Diarrhea Headache Vomiting Fever Anemia low number of red blood cells Insomnia difficulty in sleeping Indigestion Injection site reactions pain swelling redness
Dasashil 100mg Tablet, Blood cancer (Chronic myeloid leukaemia),Abdominal pain Anemia low number of red blood cells Breathing problems Fatigue Fever Headache Infection Low blood platelets Musculoskeletal bone muscle or joint pain Nausea Rash Vomiting
Dolcet-AL Tablet, Cough,Upset stomach Dryness in mouth Headache Fatigue Sleepiness Allergic reaction
Dolcet-AL Tablet, Cough,Upset stomach Dryness in mouth Headache Fatigue Sleepiness Allergic reaction
Duovir Tablet, HIV infection,Headache Fatigue Cough Insomnia difficulty in sleeping Rash Joint pain Hair loss Fever Gastrointestinal disturbance Muscle disorders General discomfort Hypersensitivity Nausea Diarrhea Vomiting Loss of appetite Decreased appetite Abdominal pain Abdominal cramp Indigestion
Defwave  6 Tablet,Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Cancer,Increased appetite Weight gain Frequent urge to urinate Cushing syndrome Cough Upper respiratory tract infection Abnormal hair growth Obesity Nasopharyngitis inflammation of the throat and nasal passages
Erlocip 150 Tablet, Non-small cell lung cancer Pancreatic cancer,Abdominal pain Bone pain Breathlessness Constipation Cough Diarrhea Fatigue Fever Infection Muscle pain Nausea Rash Stomatitis Inflammation of the mouth Vomiting Weight loss
Erlocip 100 Tablet, Non-small cell lung cancer Pancreatic cancer,Abdominal pain Bone pain Breathlessness Constipation Cough Diarrhea Fatigue Fever Infection Muscle pain Nausea Rash Stomatitis Inflammation of the mouth Vomiting Weight loss
Eliquis 2.5mg Tablet,Treatment and prevention of Blood clots,Anemia low number of red blood cells Blood in urine Bruise Nausea Nosebleeds Hematoma
Eliquis 5mg Tablet,Treatment and prevention of Blood clots,Anemia low number of red blood cells Blood in urine Bruise Nausea Nosebleeds Hematoma
Exelon Patch 15, Alzheimer's disease,Abdominal pain Delirium acute confusional state Urinary tract infection Fainting Depression Rash Fever Application site reactions burning irritation itching and redness Nausea Vomiting Indigestion Loss of appetite
Ecosprin 75 Tablet,Prevention of Angina (heart-related chest pain)Treatment and prevention of Heart attackTreatment and prevention of Stroke,Heartburn Increased bleeding tendency Nausea Upset stomach Vomiting
Enzoflam Tablet, Pain relief,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
Evion LC Tablet,Treatment of Muscle cramps,No common side effects seen
Etoshine MR Tablet,Treatment of Pain due to muscle spasm,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
Ecosprin Gold  20 Capsule,Prevention of Heart attack,Increased bleeding tendency Abdominal pain Indigestion Bruise Nosebleeds Gastrointestinal bleeding Diarrhea
Evalon Cream, Menopausal symptoms,Vaginal irritation Vaginal itching
Ecosprin AV 75/20 Capsule,Treatment of Prevention of heart attack and stroke,Abdominal pain Constipation Flatulence Increased liver enzymes Hepatitis viral infection of liver Reye s syndrome like symptoms
Emeset 4 Tablet,Treatment of NauseaTreatment of Vomiting,Constipation Diarrhea Fatigue Headache
Enzomac Plus Tablet, Pain relief,Nausea Vomiting Heartburn Indigestion Diarrhea Loss of appetite Stomach pain
Eprisan SR Capsule, Muscle relaxation,Sleepiness Fatigue Muscle weakness Headache Dryness in mouth Upset stomach
Enzar Forte  Tablet,Treatment of Indigestion,Nausea Constipation Stomach pain Bloating Diarrhea
Emanzen-D Tablet, Pain relief,Nausea Vomiting Heartburn Stomach pain Indigestion Diarrhea Loss of appetite
Ecosprin 150 Tablet,Prevention of Angina (heart-related chest pain)Treatment and prevention of Heart attackTreatment and prevention of Stroke,Heartburn Increased bleeding tendency Nausea Upset stomach Vomiting
Eptoin Tablet,Treatment and prevention of Epilepsy/Seizures,Rash Headache Dizziness Vomiting Nausea Slurred speech Vertigo Confusion Nervousness Constipation Tremors Altered walking
Eldoper 2mg Capsule, Diarrhea,Constipation Nausea Headache Stomach pain
Eumosone-M Cream,Treatment of Skin infections,Application site reactions burning irritation itching and redness
Etova-MR 400/4 Tablet, Pain due to muscle spasm,Nausea Vomiting Heartburn Stomach pain epigastric pain Loss of appetite Indigestion Sleepiness
Eyemist Eye Drop, Dry eyes,Blurred vision Eye irritation Eye pain Eye redness Foreign body sensation in eyes
Eldervit 12 Combipack, Nutritional deficiencies,No common side effects seen
Enzomac Tablet, Pain relief,No common side effects seen
Emeset Syrup Juicy Lemon,Treatment of Nausea Vomiting,Constipation Diarrhea Fatigue Headache
Ecosprin Gold  10 Capsule,Prevention of Heart attack,Increased bleeding tendency Abdominal pain Indigestion Bruise Nosebleeds Gastrointestinal bleeding Diarrhea
Eltroxin 100mcg Tablet,Treatment of Hypothyroidism,Palpitations Vomiting Anxiety Diarrhea Weight loss Nervousness Increased appetite Tremors
Eliwel 10mg Tablet,Treatment of Depression Neuropathic painTreatment of Migraine,Constipation Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Aggressive behavior Nasal congestion stuffy nose Sleepiness Dizziness Headache Decreased libido Nausea Fatigue Confusion Tremors Speech disorder Palpitations Taste change Paresthesia tingling or pricking sensation Abnormality of voluntary movements Loss of accommodation Atrioventricular block Micturition disorders Erectile dysfunction Abnormal E C G Decreased sodium level in blood
Ebast-M Tablet, Sneezing and runny nose due to allergies,Nausea Diarrhea Dryness in mouth Vomiting Skin rash Headache Drowsiness Flu like symptoms
Emeset Injection 2ml,Treatment of Nausea Vomiting,Injection site pain Constipation Diarrhea Fatigue Headache
Elosone-HT Cream,Treatment of Melasma,Application site reactions burning irritation itching and redness
Erytop Gel,Treatment of Bacterial infections,Application site reactions burning irritation itching and redness Skin rash Stomach pain Nausea Vomiting Diarrhea
